gender,name,display_name,bio,favorites_count,followers_count,list_memberships,tweets_retweets_count,following_count,acct_created,location
f,b'JessicaBoddy',b'Jess',"b'assistant editor @popsci, producer @weirdest_thing, fact-checker @wowintheworld // playing games & reading tarot at https://t.co/Uj3BEKhymy \xe2\x9c\xa8 (she/her)'",27042,1997,42,3487,1025,2011-07-11 18:39:51,"b'Chicago, IL'"
f,b'Rachel_Mahan',b'R.D. Mahan',b'Senior technical writer @salesforce. NYU alum. Voracious reader. Distance runner. Home cook. Tweets & RTs = my opinions only.',1208,375,42,1288,565,2011-06-09 16:22:49,b'Indiana'
f,b'CaroleBullock',b'Carole Bullock',b'',0,11,2,4,2,2011-06-06 14:31:07,b''
f,b'lilyhnewman',b'Lily Hay Newman',b'Security reporter @WIRED. very legal & very cool. she/her/my man. Signal +1 (347) 722-1347',7215,8895,471,2247,2295,2011-06-02 16:26:28,"b'New York, NY'"
f,b'lydiachain',b'Lydia Chain',"b'Multimedia Science Journalist | Mossy woods, crusty breads, and my puppies are all tied for second place in my affections'",730,494,16,723,458,2011-05-15 22:43:37,"b'New York, NY'"
f,b'Pau_Erre',b'Mar\xc3\xada Paula',"b'I was born a nerd, latina y millenial. // Science journalist \xf0\x9f\x8c\xbf\n#SHERP en @nyuniversity // Former @audubonsociety @elespectador // Intern at @PopSci'",14681,2395,16,6433,1126,2011-05-05 00:40:23,"b'New York, NY'"
f,b'GloribelDelgado',b'Gloribel Delgado',"b'Free spirit, writer, environmental journalist, teacher, love photography, art, filming, bikes, mountains, beach, yoga, music, traveling, kissing and hugging.'",0,192,9,328,196,2011-04-25 23:52:48,b'Puerto Rico'
f,b'NicoleWetsman',b'Nicole Wetsman',b'health reporter @verge @vergescience | also soccer tweets',2208,1644,51,2112,735,2011-04-25 00:12:13,"b'New York, NY'"
f,b'jillroselim',b'Jillian Rose Lim',"b'\xf0\x9f\x8d\x81 Canadian science & health writer @ChildrensPhila @CHOP_Research. @UofT & @nyuniversity alum. \xe2\x99\xa5 Yoga, books, nature. Views my own :)'",2014,681,29,1802,1433,2011-04-19 02:53:41,b''
f,b'KateYandell',b'Kate Yandell',b'Digital editor @CancerTodayMag',1785,1559,63,2144,2108,2011-04-12 18:24:21,"b'Philadelphia, PA'"
f,b'chanastiefel',b'Chana Wakawakaloch Stiefel',"b""Children's book author. SCBWI. LET LIBERTY RISE Scholastic '21. WAKAWAKALOCH HMH, ANIMAL ZOMBIES NGK, DADDY DEPOT F & F, 12 x 12, rep'd by Miranda Paul at EMLA.""",9926,3008,62,4390,4702,2011-03-23 16:43:31,b'NJ'
f,b'meghanbartels',b'Meghan Bartels',"b'Science journalist @SPACEdotcom (tweets are my fault) | #SHERP34, @Georgetown alumna, books/old stuff nerd, caffeine fan, she/her. mbartels at space dot com'",14180,3410,118,20692,3032,2011-03-16 18:00:45,"b'New York, NY'"
f,b'katherineefoley',b'Katherine Ellen Foley',b'Sci/health reporter @qz | enthusiasm enthusiast | #SHERP & @georgetownsfs | kfoley@qz.com |my views| she/her | https://t.co/m0QgiYEOHm',16494,3768,147,2474,1949,2011-03-05 05:06:06,"b'Washington, DC'"
m,b'cookiechat4_0',b'Nick Stockton',b'Freelance writer | https://t.co/kdXDnI22Oj | @WIRED alum | Others',2050,3126,133,4982,790,2011-02-23 01:02:34,"b'Pittsburgh, PA'"
m,b'timfolger',b'Tim Folger',b'',1,230,6,150,124,2011-01-31 18:57:16,b''
m,b'PeterNHess',b'peter hess',"b'science journalist, covering autism research news for @spectrum // send tips to peter @ spectrum news . org // DM for Signal // views my own'",79475,2145,38,17693,2417,2011-01-03 03:19:51,"b'Brooklyn, NY'"
m,b'ScienceSpinning',b'Sean C Duke',b'Science Journalist: @IrishTimes; @morningecfm @TOTTdundalk #CoolScientist; Presenter: #TheResearchField podcast #Teagasc; Author: https://t.co/Ba3BCCiv9L',2091,2328,53,7163,3690,2010-12-22 14:20:32,"b'Terenure, Dublin 6'"
f,b'RachelNuwer',b'Rachel Nuwer',"b'Freelance journalist. Contributes to the NY Times, NatGeo & more. Author of POACHED: Inside the Dark World of Wildlife Trafficking.'",1654,7803,367,2370,2971,2010-11-02 14:56:03,b'Brooklyn'
f,b'smr2121',b'Sabrina Richards',b'',0,36,7,12,35,2010-11-02 12:06:04,b''
f,b'madhumita29',b'Madhumita Murgia',b'European Technology Correspondent @FT. 2017 Stern Fellow @washingtonpost. Tech & science journalist. Currently on maternity leave.',1713,8954,358,2408,1065,2010-11-02 03:00:23,"b'London, England'"
f,b'franciediep',b'Francie Diep',"b'Staff reporter @chronicle, covering money and financing in higher ed. Appreciator of prose in all forms.'",8567,5222,241,5856,3015,2010-11-02 01:13:08,"b'Washington, DC'"
f,b'tweetMadeleine',b'Madeleine Johnson',"b'Reporter at https://t.co/MOrpOLPAKt and https://t.co/GZ52Hv7pel. Science writer. Tricoteuse, but with crochet. NTA.'",5168,752,64,3570,793,2010-11-02 01:00:52,"b'Brooklyn, NY'"
f,b'williaqj',b'Amber Williams',b'Editor of The New York Times for Kids. Previously @sciam @popsci. She/her',12966,2921,152,5695,907,2010-10-26 13:14:55,"b'New York, NY'"
f,b'stephdrimmer',b'Stephanie W. Drimmer',b'I write about science for kids.',48,502,51,383,344,2010-10-22 19:00:45,"b'Los Angeles, CA'"
f,b'SarahEFecht',b'Sarah Fecht',"b'Content manager at @earthinstitute, former editor at @popsci. Tweets are my own ... but honestly I\xe2\x80\x99m pretty much only here for funny cat pictures.'",817,1867,103,928,577,2010-10-19 19:14:26,b'New York City'
f,b'AndreaTWeather',b'Andrea Thompson',"b'Associate Editor, Sustainability at @sciam. Formerly of @ClimateCentral & @LiveScience. andrea.thompson@sciam.com. she/her'",19242,4184,311,25713,1910,2010-10-18 17:02:26,b'New York City'
f,b'CherylWeinstock',b'Cheryl Weinstock',b'',125,254,10,218,390,2010-10-09 02:04:23,b''
f,b'atmccann',b'Allison McCann',b'reporter & graphics @nytimes London bureau \xe2\x80\xa2 allison.mccann@nytimes.com',16194,16492,495,4670,1279,2010-09-24 17:52:49,b'London'
f,b'marykaycarson',b'Mary Kay Carson',"b""I write books for kids about wildlife, space, weather, history, and more! Rep'd by @aecbks""",4277,900,47,2853,1127,2010-09-24 00:19:16,"b'Cincinnati, Ohio'"
f,b'KatieMPalmer',b'Katie Palmer',"b'Science and health editor @qz, @JSKStanford cult member, previously @WIRED. Wannabe post-minimal cellist. kpalmer at qz dot com.'",153,2970,159,483,748,2010-09-07 00:01:21,"b'Northampton, MA'"
f,b'MaryBethGriggs',b'Mary Beth Griggs',b'Science Editor @VergeScience. Formerly @PopSci. Tweets are my own.',6045,4218,238,3131,1048,2010-08-20 19:16:08,b'NYC'
f,b'doyleschmoyle',b'Kate Doyle',b'@drunkhistory @GoodTalkAnthony @ilyamerica @adamruins',6864,920,43,3602,887,2010-07-14 15:35:13,"b'Los Angeles, CA'"
f,b'josiegz',"b""Josie Glausiusz \xd7\x92'\xd7\x95\xd7\xa1\xd7\x99 \xd7\x92\xd7\x9c\xd7\x90\xd7\x96\xd7\x99\xd7\x95\xd7\xa1 \xd8\xac\xd9\x88\xd8\xb3\xd9\x8a \xd8\xba\xd9\x84\xd8\xa7\xd9\x88\xd8\xb3\xd9\x8a\xd9\x88\xd8\xb2""","b'Science journalist writing @Nature, @NatGeo, @sciam, @aeonmag, @HakaiMagazine, @SAPIENS_org, @undarkmag. Won @AmnestyNow 2015 Online Media Award. #ClimateCrisis'",27970,2482,98,24266,1482,2010-06-16 20:59:53,b'Planet Earth'
f,b'sarah_jacoby',b'sarah',"b'associate news director @SELFmagazine. wellness, skincare, drugs, brains, heavy metal. she/her/sensitive skin.'",3248,2213,59,2096,386,2010-06-08 23:01:51,b''
f,b'ableicher',b'Ariel Bleicher',b'Freelance journalist',29,288,28,133,95,2010-05-19 11:52:46,b'New York City'
m,b'leHotz',b'Robert Lee Hotz',b'I cover science for The Wall Street Journal. President of The Alicia Patterson Foundation.',17406,6218,368,9960,1768,2010-05-14 19:35:20,b'New York'
f,b'mcgowankat',b'Kat McGowan',"b'Journalist. Report on health, medicine, science, cool stuff. Recently: Audubon, Popular Science, Grist, Mother Jones. Visiontastic!'",2837,1775,112,8660,906,2010-05-06 19:57:29,b'NYC and/or Bayaria'
f,b'mirikramer',b'Miriam Kramer',"b""I write the @Axios Space newsletter. It's not aliens. It's never aliens. Get in touch: miriam@axios.com. (she/her)""",18071,20481,653,1003,1037,2010-04-22 14:21:46,"b'Nashville, TN'"
f,b'susanematthews',b'Susan Matthews',b'news director @Slate',5113,3047,148,2525,1817,2010-03-18 18:28:33,"b'Charlottesville, Virginia'"
m,b'sci_grant',b'Andrew Grant',b'Online editor at Physics Today. Fan of underachieving sports teams.',1174,1410,83,817,703,2010-03-14 14:53:08,"b'Washington, DC'"
f,b'ciarzc',b'Ciara Curtin',"b'I am a science writer and editor. I also like food, running, and yoga. All views expressed here are my own.'",155,88,10,542,271,2010-02-10 01:45:48,"b'Atlanta, GA'"
m,b'uh_yeah_no',b'Greg Uyeno',b'science journalist. mystery dum-dum. yonsei.',19594,253,6,782,2861,2010-01-15 00:21:52,b'Queens'
m,b'unmeshkher',b'unmesh kher',b'',264,27,3,121,51,2010-01-06 18:05:35,b''
m,b'jeremyhsu',b'Jeremy Hsu',"b""Journalist covering science and tech. Piling up history books. It's summer and we're running out of ice. sciencehsu@protonmail.com or DM for Signal""",15758,4226,342,25876,2382,2009-12-04 23:08:26,"b'New York, NY'"
f,b'emilybhager',b'Emily B. Hager',b'Freelance video journalist; Formerly https://t.co/MbHmPfGuLd and https://t.co/YapuoqX0HS.',13,1416,63,513,623,2009-11-29 16:46:58,"b'New York, NY'"
m,b'seanpmulligan',b'Sean Mulligan',b'Waterman',62,30,4,29,100,2009-11-10 11:55:35,b'On the Road'
f,b'yutzuchiu',b'Yu-Tzu Chiu',"b'- Taipei Correspondent, dpa (Deutsche Presse-Agentur) ;\n- byline appeared: Bloomberg BNA, IEEE Spectrum, The Lancet... \n- Member, SEJ \n- SHERP, Journalism NYU'",18,317,18,315,443,2009-11-09 18:38:20,"b'Taipei, Taiwan'"
m,b'RitchieSKing',b'Ritchie King',b'Data viz @Netflix.\nPreviously @FiveThirtyEight and @qz',798,6902,486,2080,814,2009-10-21 04:01:47,"b'Los Gatos, CA'"
m,b'alexanderxliu',b'Alexander Liu',"b'Filmmaker, journalist, pleasure enthusiast. Director of @asexplanation and @scienceofsin.'",642,328,20,403,430,2009-10-11 14:31:38,"b'San Francisco, CA'"
m,b'zachgottlieb',b'Zach Gottlieb',b'Web Developer',1,89,15,47,131,2009-10-09 17:03:58,"b'New York, NY'"
f,b'maragrunbaum',b'Mara Grunbaum',"b""Freelance science journalist @scholastic, @nytimes for Kids, etc. Author: https://t.co/xouvPI3wx7. We are all just fancy worms and I think that's just great.""",6820,1979,140,3773,253,2009-10-04 21:37:48,"b'Seattle, WA'"
m,b'hebbmeme',b'Mike Orcutt',b'what fires together wires together',0,24,2,49,63,2009-09-23 21:24:22,"b'The Big City, America'"
f,b'Anna_Rothschild',b'Anna Rothschild',"b'Senior video producer @FiveThirtyEight + Host of Podcast-19. Formerly @washingtonpost & @Gross_Science. Not related to the Rothschild family, sheesh!'",7126,10204,247,4234,2131,2009-09-17 21:17:18,b''
f,b'Saragoud',b'Sara Goudarzi',"b'Writer | editor - Bylines: Scholastic News, Nat Geo News, NYTimes, The American Scholar, Scien Amer, etc. Contrib. editor: Dem+nd, at work on 2nd novel'",10053,1446,19,1496,941,2009-09-17 16:44:49,b'New York'
m,b'Douglas_Main',b'Doug Main',"b'writer, journalist, explorer, naturalist & artist. diverse interests, always learning. senior writer/editor @natgeo covering wildlife, nature, the environment'",14536,7592,263,15181,1609,2009-08-16 01:26:45,"b'Washington, DC'"
f,b'jresti12',b'jenette restivo',"b""producer/writer/editor/content strategist/nature defender/mama/will create media for a good cause. this ain't no party. this ain't no disco.""",126,427,0,1624,1103,2009-08-09 21:48:07,"b'Boston, MA'"
f,b'morgenpeck',b'Morgen Peck',"b'""The salad was the last straw."" - Mark E. Smith'",2677,1456,73,726,1092,2009-07-29 15:59:51,b'New York City'
m,b'TheTedAllen',b'Ted Allen',"b'Host, James Beard \xf0\x9f\x8f\x86-winning Chopped on @FoodNetwork; @Emmy winner OG QueerEye. Author ""In My Kitchen."" Banner: Seville \'Shrooms. Inset: by Retiba Hegazzi, 9'",7148,253034,2499,24532,1916,2009-07-26 21:02:06,"b'Brooklyn, USA'"
m,b'dvergano',b'Dan Vergano',b'BuzzFeed News science desk in Washington D.C. Contact: dan.vergano@buzzfeed.com * Cover science and its consequences * Send secure tips --contact.buzzfeed.com',2961,17745,1081,31997,1727,2009-07-20 14:42:23,"b'Washington, DC'"
f,b'catlaz',b'Cat Lazaroff',"b'Fed up with half-measures. Full-time working toward justice, equity and inclusion in all my endeavors.'",581,673,52,2117,860,2009-07-10 19:20:27,b'Washington DC
f,b'lenagroeger',b'Lena V. Groeger',"b'science journalist & designer, news apps developer @ProPublica. @SND @NAHJ'",3938,11221,720,5429,1809,2009-07-09 14:18:35,"b'San Francisco, CA'"
f,b'oliviakoski',b'olivia',b'Engineering Writing @CooperUnion Past: @InsightDataEng  @GuerillaScience @atavist\nVacation Guide to Solar System: https://t.co/Aw6IcacwfZ okoski@protonmail.com',675,1268,83,5217,959,2009-06-26 20:08:10,b'Brooklyn'
f,b'emilyvdriscoll',b'Emily Driscoll',"b'Video producer/editor, @nyphospital. Founder of @BonSciFilms - videos for @SciFri, @WorldSciFest, @MuseumofCityNY, @QuantaMagazine. Badminton enthusiast!'",1848,780,46,1740,697,2009-06-22 16:22:04,"b'New York, NY'"
f,b'theresluethi',b'Theres Luethi',"b'Science writer/editor @NZZaS \nInterested in infectious disease, social issues, cancer and the brain.'",1089,858,24,1027,725,2009-06-22 11:16:16,"b'Z\xc3\xbcrich, Switzerland  '"
f,b'andyandy_tk',b'Andrea Anderson',"b'Freelance science/health journalist. Genomics, precision med. Ice Age & feral animal fascinations. Words @PrecOncNews @SciAm @NatGeo'",1148,676,52,716,921,2009-06-21 03:12:12,"b'Edmonton, AB'"
m,b'tvjrennie',b'(((John Rennie)))',"b""Science writer/editor @QuantaMagazine.  Frmrly @SciAm, TWC's Hacking the Planet & more. Faculty for NYU SHERP, Beakerhead SciComm. Opinions = my own \xe2\x80\x94 at most.""",49186,9783,647,32818,591,2009-06-19 01:25:32,"b'New York, NY'"
f,b'rkessl',b'Becky Kessler',b'Science & Environmental Journalist',12,235,18,76,423,2009-06-10 20:46:16,"b'Providence, RI'"
m,b'ferrisjabr',b'Ferris Jabr',b'science writer \xe2\x9c\xb5 contributing writer @NYTmag and @sciam \xe2\x9c\xb5 writing a book about the coevolution of Earth and life for @RandomHouse \xe2\x9c\xb5 surname rhymes with neighbor',124,28815,1087,5973,591,2009-06-08 06:50:16,"b'Portland, OR'"
f,b'roseveleth',b'Rose Eveleth \xe2\x96\xb7\xe2\x96\xb7',b'journalist \xe3\x80\xb0\xe3\x80\xb0 I run @ffwdpresents \xe3\x80\xb0\xe3\x80\xb0 make @flashforwardpod // @advice4futureu \xe3\x80\xb0\xe3\x80\xb0 she/her \xe3\x80\xb0\xe3\x80\xb0 Tweets \xf0\x9f\x97\x91 \xe3\x80\xb0\xe3\x80\xb0 \xf0\x9f\x91\xbd butch Ms. Frizzle \xf0\x9f\x91\xbd  \xe3\x80\xb0\xe3\x80\xb0 rose.eveleth@protonmail.com',16102,27495,919,1070,2549,2009-06-05 14:29:35,b''
m,b'Viratmarkandeya',b'Virat Markandeya',b'',8,227,10,75,822,2009-05-28 09:17:48,b'Delhi'
f,b'sabitomata',b'Sabina Borza',"b'Professional: Writer, Editor, Project Manager\r\n\r\nSide gigs: Perpetual student, animal lover'",0,26,4,12,54,2009-05-27 14:10:39,b'Philadelphia'
f,b'passantrabie',b'Passant Rabie',"b'Award-winning journalist with an interest in science, space and tech. The Beyonc\xc3\xa9 of astrophysics.'",760,1648,34,1859,434,2009-05-18 07:36:28,"b'New York, USA'"
m,b'gmmone',b'Gregory Mone',"b'amphibious writer of stories for kids and adults, co-author of the bestselling #jackandthegeniuses series with @billnye, contributing editor @popsci'",237,381,14,360,289,2009-05-14 19:33:59,"b'Vineyard Haven, MA'"
m,b'joelving',b'Frederik Joelving',"b'Journalist interested in medicine, public health, pharma, social justice etc. Editor @Reuters_Health. Views my own.'",424,1909,159,4752,748,2009-05-12 17:33:36,b'Denmark'
f,b'BriannaBlacet',b'Brianna Blacet',b'writing wrongs since 1987',444,129,10,546,107,2009-05-08 02:37:57,"b'S.F. Bay Area, California'"
f,b'SarahZielinski',b'Sarah Zielinski',"b'Managing editor, @SNStudents. Contributor to @ScienceNews. Member, @ScienceWriters Board. Obsessed with animals--especially cats. she/her'",3862,5024,261,9355,1894,2009-05-04 00:41:55,"b'Washington, DC'"
f,b'nonojojo',b'JoAnna Klein',b'Science journalist and visual enthusiast. @NYTScience and beyond.',2833,2369,112,4108,1769,2009-04-24 04:33:08,"b'New York, NY'"
f,b'kathrynpeek',b'Katie Peek',b'Data visualizations for science magazines. Science journalist and Ph.D.-astronomer-at-large. Other skillz that this margin is too narrow to contain.',337,1416,122,798,632,2009-04-23 20:28:59,b'Baltimore'
f,b'mstewartscience',b'Melissa Stewart',b'Writes science books for children. Cares deeply about science and literacy education. Nonfiction advocate. She/her. Opinions my own.',33405,9795,341,28020,4006,2009-04-23 16:45:19,"b'Boston, MA'"
m,b'thebjorncarey',b'Bjorn Carey',"b'Senior Director, Digital Strategy at Stanford University. Views are my own.'",7,323,18,642,475,2009-04-13 20:06:37,"b'Menlo Park, California'"
m,b'CBMDP',b'\xf0\x9f\x8c\xb4 \xf0\x9f\x90\xba\xf0\x9f\x8d\xb9Matthew Phelan \xf0\x9f\x8f\x9d\xef\xb8\x8f\xf0\x9f\x93\xa1',"b'Journalist-type, past bylines @Slate, @newrepublic, @inversedotcom, @Gawker (RIP), @Awl (RIP), @insideclimate, etc. | used to hand-make Li-ion batteries | SHERP'",12222,997,22,2339,1166,2009-04-08 23:01:27,"b'Bushwick, Brooklyn'"
f,b'apoorva_nyc',b'Apoorva Mandavilli',"b'Reporter @nytimes.  Winner 2019 Victor Cohn Prize. Before: Founding EIC @Spectrum, co-founder @CultureDish DMs open OR Apoorva@NYTimes.com'",11503,24313,751,10697,1007,2009-04-08 18:20:40,b''
f,b'jenmoser',b'Jenny Moser Jurling',b'Copy editor and writer. Fantasy and science fiction are my favorite genres. Science and health are my favorite topics. She/her.',10913,381,19,12672,1001,2009-04-06 12:37:02,b''
f,b'kmcwalsh',b'Karen McNulty Walsh',"b""Science writer/public information officer Brookhaven Nat'l Lab. My opinions are my own and are not endorsed by my current or past employers, schools, or ...""",256,229,19,370,239,2009-04-03 13:43:51,"b'Long Island, NY'"
f,b'kelseyrkennedy',b'kelsey kennedy',b'science journalist + producer. oregonian. formerly @sciam + @atlasobscura + #sherp34 + #bizav. she + her.',29878,962,36,5622,1813,2009-03-30 00:44:43,b'NYC/Oregon'
f,b'RachaelRettner',b'Rachael Rettner',"b'Health reporter for @LiveScience. CA native. Writer, runner, dessert lover and tree nerd.'",363,2874,137,2392,439,2009-03-28 21:52:49,"b'San Jose, CA'"
f,b'coreybinns',b'Corey Binns',"b'science, health, tech, and social innovation writer. parent. curious about most everything.'",14,631,45,419,618,2009-03-25 18:06:31,b'Northern California'
f,b'rebersole',b'Rene Ebersole',"b""Covering science, health, and the environment, I'm an independent journalist with insatiable curiosity and travel lust.""",85,1033,48,244,1445,2009-03-24 15:16:04,"b'New York, USA'"
f,b'eelert',b'Emily Elert',b'science video. science writing. science. producer @MinuteEarth. emily.elert at gmail',263,1396,60,881,302,2009-03-24 15:14:02,"b'Brooklyn, New York'"
m,b'Michael_Easter',b'Michael Easter',b'Author: The Comfort Crisis (@penguinrandom 2021) // Contributing Editor: @MensHealthMag // Columnist: @OutsideMagazine // Professor: UNLV Journalism',2956,2208,60,2925,957,2009-03-24 00:25:09,b'Las Vegas'
f,b'PamFrostGorder',b'Pam Frost Gorder',b'Science Writer at @osuresearch & freelance. Me likey science. Write words goodly. Specializing in physical science & engineering.\nNYU S(H)ERP 12',4397,1185,165,7033,551,2009-03-17 19:16:32,"b'Columbus, Ohio'"
f,b'katherinetweed',b'Katherine Tweed',"b""Freckled editor, writer and skipper of custom content for GTM. Also sometimes freelancer covering everything from penguin poop to farmer's market picks.""",87,2502,179,1504,435,2009-03-11 19:49:18,"b'Brooklyn, NY'"
f,b'sguynup',b'Sharon Guynup',"b'Global fellow, Wilson Center. National Geographic Explorer. Environmental journalist, producer, speaker. Author, Tigers Forever. Opinions my own.'",2584,1281,52,1886,1229,2009-03-08 17:15:13,"b'Hoboken, NJ and Washington, DC'"
m,b'mike_orcutt',b'Mike Orcutt',b'News Editor @TheBlock__. @techreview alum. DM for Signal. The propagandists are winning.',3842,4821,241,8586,2502,2009-03-07 02:20:09,"b'District of Columbia, USA'"
m,b'antonioregalado',b'Antonio Regalado',"b'Progress in science depends on new techniques, new discoveries and new ideas, probably in that order - {Sydney Brenner}. I write about biotech @techreview'",9576,20263,741,17400,2197,2009-03-06 16:42:13,b'regalado@mit.edu'
m,b'Goodier',b'Rob Goodier',"b""I'm a journalist.""",16,711,45,689,161,2009-03-06 02:23:57,"b'Colorado, USA'"
f,b'amandacox',b'Amanda Cox',b'amanda.cox@gmail.com',150,9931,663,94,337,2009-03-04 02:54:23,b''
f,b'LindseyKonkel',b'Lindsey Konkel',b'Science Journalist',416,1445,100,1183,788,2009-03-03 18:32:27,"b'Haddon, NJ'"
f,b'RachelFeltman',b'Rachel Feltman',b'Articles Editor and Chief Science Officer of the USS @popsci // Previously @washingtonpost // Host of @weirdest_thing // She/They // rachel@popsci.com',40979,20039,859,67290,1588,2009-02-28 16:27:40,"b'NYC,NY / JC,NJ'"
f,b'JossFong',b'Joss Fong',"b'Video, science & tech | joss@vox.com'",2222,25603,344,3897,1651,2009-02-26 20:41:49,b''
m,b'danfagin',b'Dan Fagin',"b'Professing science journalism, directing SHERP at NYU. 57-time loser, 1-time winner of Pulitzer Prize in General Nonfiction. Off chasing \xf0\x9f\xa6\x8b somewhere, probably.'",6405,8254,395,29820,1492,2009-02-26 20:06:52,b'New York'
f,b'shelleydubois',b'Shelley DuBois',"b'Managing Supervisor, #Healthcare @Fleishman in San Francisco. Formerly New York & Nashville @SciFri, @Fortune, @Tennessean,  @HallStrategies & @JarrardInc.'",2184,2127,108,6453,910,2009-02-25 20:16:29,"b'San Francisco, CA'"
f,b'robinhenig',b'Robin Marantz Henig',"b'Science writer, book author, adjunct prof at #SHERP @nyu_journalism, co-author with my daughter @scootes of TWENTYSOMETHING  https://t.co/27YX9OBXsK'",732,2901,186,7566,719,2009-02-25 19:31:59,b'NYC'
f,b'genevrapittman',b'Genevra Pittman',b'Assistant Perspective Editor @NEJM. Formerly @Reuters_Health. Tweets are my own.',4,911,78,257,330,2009-02-25 04:13:40,"b'Somerville, MA'"
m,b'MedReporter',b'Damian McNamara',"b'Award-winning multimedia writer/reporter. I tweet medicine, science, and more, with a focus on neurology/psychiatry. Damian[at]https://t.co/ce8rPA7jPU\n(305) 490-4525'",102,1373,91,2410,708,2009-02-24 17:33:12,"b'Miami, Florida, U.S.A.'"
f,b'cstorrs',b'Carina Storrs',"b'Freelance science and health journalist writing about medicine, mental health, sustainability and other good stuff. Way too into cats.'",1184,1186,74,1474,792,2009-02-23 06:28:14,b'New York City'
m,b'davelevitan',b'Dave Levitan',"b'Journalist, mostly science and politics; bylines @gizmodo @thedailybeast @newrepublic @washingtonpost and lots more. Author: NOT A SCIENTIST'",9796,7490,263,29719,543,2009-02-21 16:09:47,b''
f,b'crystalgammon',b'Crystal Gammon',b'',2,85,11,54,42,2009-02-19 21:41:46,"b'New York, NY'"
m,b'CT_Morrison',b'Chris Morrison',b'I cover the biopharmaceutical industry.     ctm212 [at] gmail',4974,7211,276,6478,960,2009-02-18 20:37:18,b'Yardley PA'
f,b'alisonmccook',b'Alison McCook',"b""I'm a science writer. You can see my work in Reuters, Nature, and Scientific American. I was Deputy Editor of The Scientist, and Editor of Retraction Watch.""",1211,721,44,385,339,2009-02-18 18:10:06,"b'Philadelphia, PA'"
f,b'lynnepeeps',b'Lynne Peeples',"b'Seattle-based freelance science writer. Bylines @HuffPost, @TheDailyBeast, @UndarkMag, @SciAm, @NatureNews. Former @HarvardChanSPH biostatistician.'",800,3894,281,1668,1342,2009-02-17 19:20:35,"b'Seattle, WA'"
m,b'jkahn1',b'Jason Kahn',b'',0,28,6,164,16,2009-02-17 17:07:04,b''
f,b'KristinaMFiore',b'Kristina Fiore',"b'Director, Enterprise & Investigative Reporting @MedPageToday'",1222,3097,164,3990,3123,2009-02-11 22:26:13,"b'Jersey City, NJ'"
f,b'dawnstover',b'Dawn Stover',"b'Freelance journalist who writes about science, technology and the environment. Contributing editor at the Bulletin of the Atomic Scientists.'",751,2341,212,15015,828,2009-02-09 19:05:52,"b'White Salmon, Washington'"
f,b'VictoriaStern',b'Victoria Stern',b'Producer @tradeoffspod; Freelance Science Writer',243,642,24,75,151,2009-02-06 05:54:08,b'Los Angeles'
m,b'n_vpatel',b'Neel V. Patel',b'space reporter @techreview | olympian doomscroller | neel.patel@technologyreview.com | newsletter https://t.co/zOPFQopt6D',11327,3316,127,1919,1612,2009-02-04 01:20:43,"b'Boston, MA'"
m,b'TomClarke_ITV',b'Tom Clarke',b'Science Editor at ITV News',2902,8563,267,8101,2131,2009-01-20 15:43:23,"b'London, England'"
f,b'jeannabryner',b'jbryner',b'Managing Editor http://t.co/LAtzeuSBTN',313,1045,50,690,254,2009-01-13 14:10:24,b''
f,b'ttamkins',b'Theresa Tamkins',"b'editorial director @thehealthy, formerly @buzzfeednews, https://t.co/b6nx3KUaPG, @reuters_health Expect tweets on germs, running, weird science, music, and birds'",2004,1129,39,438,737,2009-01-13 04:08:15,b''
m,b'JonMChang',b'Jon Chang',b'Zero chill. My top emoji rankings: \xf0\x9f\x91\x8f\xf0\x9f\x99\x83\xf0\x9f\xa4\x94',146,602,56,7881,658,2009-01-12 23:36:51,"b'\xc3\x9cT: 39.289234,-76.597086'"
f,b'mahony128',b'Melissa Mahony',"b'senior editor for @OnEarthMag.   caretaker of ancient urban farmhouse, feeder of chickens, keeper of strays.'",128,1056,87,1532,778,2009-01-09 17:03:01,b'New York City'
f,b'karenschrock',b'karen schrock',b'SciAm Mind magazine editor. Singer of opera and Journey. Green Bay native. Go Pack!',12,764,63,72,226,2009-01-07 20:53:29,"b'State College, PA'"
f,b'Kgsavoie',b'Keely Savoie',"b'F/T science writer/freelancer. Special interest in health & the environment, especially where they overlap.'",10,96,7,93,546,2009-01-06 16:58:44,b'Western Mass'
f,b'susancosier',b'Susan Cosier',"b'Independent journalist focused on science and the environment. Writing in @NewsfromScience, @sciam, @NRDC, and more.'",2079,1988,136,2067,1556,2009-01-06 15:36:31,"b'Chicago, Illinois'"
f,b'susannahlocke',b'Susannah Locke',"b'Special projects editor @voxdotcom, formerly @popsci, @sciam, https://t.co/7lgX9TI1Ep. susannah@vox.com'",836,4219,261,1116,1937,2008-12-15 05:52:47,b'susannahlocke.com'
f,b'keeort',b'Erik Ortlip',b'Science journalist at Environmental Health News. Currently I have an unhealthy obsession with audio and DIY--especially DIY audio. Late night soldering anyone?',1,129,17,119,96,2008-11-04 18:11:44,b'New York City'
f,b'cgorman',b'Christine Gorman',"b'Health/Medicine editor. Also: data, global health, health equity, press ethics, theology. RT \xe2\x89\xa0 endorsement. All views my own.'",871,5379,416,8296,576,2008-11-04 16:19:42,"b'New York, NY'"
